en	de
the	ang
and	kag
of	sang
to	sa
a	ang
i	ako
in	sa
he	sya
that	nga
it	ini
you	ikaw
her	iya
his	iya
she	sya
not	indi
for	para
with	upod
as	bilang
be	mangin
but	pero
him	iya
they	sila
said	nagsiling
so	ti
my	akon
have	may
all	tanan
at	sa
me	ko
your	imo
them	sila
shall	mangin
which	nga
by	paagi
this	ini
there	didto
then	karon
their	ila
one	isa
what	ano
when	san-o
no	waay
do	himo
would	gusto
very	gid
if	kung
out	gwa
an	ang
who	sin-o
we	kami
now	subong
little	gamay
or	o
lord	ginoo
before	antes
more	mas
man	tawo
such	ina
up	ibabaw
into	sa
know	kabalo
much	madamo
how	paano
must	dapat
well	mayo
than	kaysa
go	lakat
may	pwede
came	nag-abot
see	kita
other	iban
make	himo
should	dapat
day	adlaw
good	maayo
any	bisan
only	lang
every	kada
some	pila
two	duha
father	amay
about	tungod
its	iya
from	naghalin
went	naglakat
god	dios
over	ibabaw
never	indi
like	pareho
us	kami
again	liwat
let	tugti
come	abot
old	tigulang
time	panahon
say	siling
made	ginhimo
land	duta
people	tawo
down	dalum
where	diin
might	basi
after	pagkatapos
house	balay
own	iyahon
nothing	waay
mother	nanay
mother	iloy
most	pinaka
think	nagapinsar
our	aton
give	hatag
though	bisan
here	diri
take	kuha
soon	madali
hand	kamot
away	palayo
genesis	genesis
thought	ginpinsar
herself	sya
great	dalayawon
upon	sa
these	mga
first	una
sister	utod
saw	nakita
without	wala
long	laba
took	ginkuha
being	bilang
way	dalan
children	kabataan
looked	gintulok
room	kwarto
lady	lin-ay
put	butang
just	lang
moses	moses
place	lugar
also	man
young	hubin
wife	asawa
sons	kabataan
son	bata
eyes	mata
quite	medyo
because	bangud
many	damo
last	ulihi
pharaoh	parao
oh	ay
years	tinuig
back	balik
yes	huo
still	gihapon
heard	nabatian
egypt	ehipto
whole	bilog
enough	sakto
jacob	jacob
however	apang
ever	gid
always	pirmi
israel	israel
called	gintawag
brother	utod
tell	sugid
even	bisan
family	pamilya
dear	palangga
indeed	gid
name	ngalan
head	ulo
men	katawhan
found	nakit-an
brought	gindala
morning	aga
while	samtang
told	nagsugid
exodus	exodo
saying	nagasiling
done	ginhimo
each	kada
lydia	lydia
another	naman
yet	pa
therefore	amo
better	mas
home	balay
three	tatlo
friend	amigo
cried	naghibi
both	pareho
earth	kalibutan
daughter	bata
joseph	jose
woman	babayi
seen	nakit-an
same	pareho
heart	tagipusuon
through	paagi
oft	pirmi
felt	nabatyagan
between	tunga
something	butang
life	kabuhi
stood	nagtindog
days	inadlaw
king	hari
nor	indi
night	gab-i
home	puluy-an
asked	namangkot
why	ngaa
get	kuha
side	kilid
seemed	daw
myself	ako
gave	ginhatag
right	tuo
evening	kagab-ihon
tree	kahoy
hope	paglaum
does	nagahimo
thing	butang
sure	sigurado
face	guya
abraham	abraham
those	ato
world	kalibutan
speak	hambal
sir	sira
really	gid
half	katunga
spoke	naghambal
moment	tinion
large	dako
against	kontra
far	layo
letter	sulat
manner	paagi
knew	nakabalo
door	pwertahan
set	ibutang
once	makaisa
together	upid
began	nag-umpisa
till	asta
wish	handum
anything	bisa
under	idalum
sat	nagpungko
next	sunod
hear	nabatian
love	gugma
few	dyutay
believe	pati
replied	nagbalos
poor	imol
happy	malipayon
gone	nagtaliwan
daughter	bata
perhaps	basi
having	ara
girl	bata
going	nagahalin
water	tubig
got	nakabaton
bring	dala
answered	nagsabat
find	mangita
among	sa
mine	akon
often	pirmi
certainly	gid
given	nakahatag
left	wala
kind	mabuot
near	lapit
turned	nangin
pleasure	kalingawan
passed	nag-agi
town	banwa
towards	padulong
pass	agyan
hundred	gatus
child	bata
aaron	aaron
new	bag-o
thus	amo
whether	bisan
things	pagkabutang
gold	bulawan
since	halin
word	tinaga
present	halad
mind	isip
according	suno
least	pinakadyutay
boy	bata
almost	halos
less	buhin
work	obra
others	iban
subject	isyu
feelings	balatyagon
coming	magaabot
servants	alagad
money	kwarta
minister	ministro
end	katapusan
answer	sabat
able	sarang
words	tinaga
keep	tago
street	kalsada
sent	ginpadala
master	agalon
